,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
574,KIDZ BOP KIDS,4.5,9,0,0,0
575,LAKE EMERSON & PALMER,4.5,9,0,0,0
576,LIL UZI VERT,4.5,4,3,1,0
577,LIL' JON & THE EASTSIDE BOYZ,4.5,3,2,2,0
578,LUIS MIGUEL,4.5,6,3,0,0
579,MARILYN MANSON,4.5,6,3,0,0
580,MARK CHESNUTT,4.5,5,4,0,0
581,MAZE FEAT. FRANKIE BEVERLY,4.5,9,0,0,0
582,MOLLY HATCHET,4.5,4,3,1,0
583,P.O.D.,4.5,3,2,1,0
584,PAPA ROACH,4.5,3,2,1,0
585,PARLIAMENT,4.5,7,2,0,0
586,POINT OF GRACE,4.5,7,2,0,0
587,PUBLIC ENEMY,4.5,6,3,0,0
588,RAFFI,4.5,7,2,0,0
589,RICK SPRINGFIELD,4.5,5,4,0,0
590,ROY ORBISON,4.5,7,2,0,0
591,S.W.V.,4.5,3,2,1,0
592,SAMMY KERSHAW,4.5,6,3,0,0
593,SCARFACE,4.5,6,3,0,0
594,STEPPENWOLF,4.5,8,1,0,0
595,TAYLOR DAYNE,4.5,3,2,2,0
596,THE CHAINSMOKERS,4.5,5,2,1,0
597,THE KILLERS,4.5,3,2,1,0
598,THE MARSHALL TUCKER BAND,4.5,7,2,0,0
599,THE TRAVELING WILBURYS,4.5,3,2,1,0
600,THE WALLFLOWERS,4.5,2,1,1,0
601,THIRTY-EIGHT SPECIAL (.38),4.5,5,4,0,0
602,THOMAS RHETT,4.5,4,3,1,0
603,TONY! TONI! TONE!,4.5,4,3,1,0
604,TREY SONGZ,4.5,6,3,0,0
605,WARRANT,4.5,3,2,2,0
606,WHITE ZOMBIE,4.5,3,2,2,0
607,WIZ KHALIFA,4.5,4,3,1,0
608,AARON CARTER,4.0,2,2,1,0
609,AKON,4.0,2,2,1,0
610,ASHLEE SIMPSON,4.0,2,2,1,0
611,BARBRA STREISAND & KRIS KRISTOFFERSON,4.0,1,1,1,0
612,BARNEY,4.0,2,2,1,0
613,BLIND MELON,4.0,1,1,1,0
614,BLUE OYSTER CULT,4.0,6,2,0,0
615,BREAKING BENJAMIN,4.0,5,3,0,0
616,BROTHERS JOHNSON,4.0,4,4,0,0
617,CHRIS ISAAK,4.0,4,2,1,0
618,CIARA,4.0,2,2,1,0
619,CONWAY TWITTY,4.0,7,1,0,0
620,CRYSTAL GAYLE,4.0,6,2,0,0
621,DEMI LOVATO,4.0,6,2,0,0
622,DIONNE WARWICK,4.0,7,1,0,0
623,EMMYLOU HARRIS,4.0,8,0,0,0
624,EUROPE,4.0,2,2,1,0
625,EVERCLEAR,4.0,3,3,1,0
626,GAP BAND,4.0,5,3,0,0
627,GREAT WHITE,4.0,4,2,1,0
628,HALSEY,4.0,3,3,1,0
629,HARRY CHAPIN,4.0,4,2,1,0
630,IL DIVO,4.0,5,3,0,0
631,JAGGED EDGE,4.0,4,2,1,0
632,JANE'S ADDICTION,4.0,4,2,1,0
633,JARS OF CLAY,4.0,4,2,1,0
634,JOHN FOGERTY,4.0,5,1,1,0
635,JOHN LEGEND,4.0,4,2,1,0
636,JOHN WILLIAMS,4.0,7,1,0,0
637,JON SECADA,4.0,2,2,1,0
638,JUDY COLLINS,4.0,6,2,0,0
639,LIL' KIM,4.0,3,3,1,0
640,LITTLE TEXAS,4.0,4,2,1,0
641,LOGIC,4.0,5,3,0,0
642,MAKAVELI,4.0,1,1,1,0
643,MANA,4.0,6,2,0,0
644,MEGHAN TRAINOR,4.0,2,2,1,0
645,MONTGOMERY GENTRY,4.0,5,3,0,0
646,NE-YO,4.0,3,3,1,0
647,PAM TILLIS,4.0,5,3,0,0
648,PENTATONIX,4.0,4,2,1,0
649,RICHARD PRYOR,4.0,6,2,0,0
650,RIGHTEOUS BROTHERS,4.0,5,1,1,0
651,ROBERT PALMER,4.0,3,3,1,0
652,SAM HUNT,4.0,2,2,1,0
653,SHAWN MENDES,4.0,3,3,1,0
654,SKILLET,4.0,4,2,1,0
655,THE LUMINEERS,4.0,2,2,1,0
656,THE PRETENDERS,4.0,6,2,0,0
657,TRACY BYRD,4.0,5,1,1,0
658,TWISTED SISTER,4.0,3,1,1,0
659,VILLAGE PEOPLE,4.0,5,3,0,0
660,VINCE GUARALDI TRIO,4.0,1,1,1,0
661,WARREN G,4.0,3,1,1,0
662,8 BALL & MJG,3.5,4,1,1,0
663,A$AP ROCKY,3.5,3,2,1,0
664,AARON NEVILLE,3.5,4,3,0,0
665,AARON TIPPIN,3.5,6,1,0,0
666,B.O.B.,3.5,3,2,1,0
667,BACHMAN-TURNER OVERDRIVE,3.5,6,1,0,0
668,BRYSON TILLER,3.5,2,1,1,0
669,CHEVELLE,3.5,3,2,1,0
670,CHINGY,3.5,3,2,1,0
671,CHIPMUNKS,3.5,5,2,0,0
672,CHRIS YOUNG,3.5,4,3,0,0
673,CHUCK MANGIONE,3.5,4,1,1,0
674,CLAY AIKEN,3.5,3,2,1,0
675,COLOR ME BADD,3.5,2,1,1,0
676,COOLIO,3.5,3,2,1,0
677,DANE COOK,3.5,3,2,1,0
678,DAVID LEE ROTH,3.5,4,3,0,0
679,DAVID SANBORN,3.5,7,0,0,0
680,DJ KHALED,3.5,4,3,0,0
681,DOKKEN,3.5,4,3,0,0
682,DOUG STONE,3.5,5,2,0,0
683,DRU HILL,3.5,3,2,1,0
684,EDDIE MURPHY,3.5,3,2,1,0
685,ELLIE GOULDING,3.5,4,3,0,0
686,ELVIS COSTELLO,3.5,5,2,0,0
687,EVE,3.5,3,2,1,0
688,FABOLOUS,3.5,5,2,0,0
689,FIFTH DIMENSION,3.5,7,0,0,0
690,FLORENCE & THE MACHINE,3.5,3,2,1,0
691,FRED HAMMOND,3.5,4,1,1,0
692,GERALD LEVERT,3.5,4,3,0,0
693,GLADYS KNIGHT & THE PIPS,3.5,7,0,0,0
694,GLEE CAST,3.5,5,2,0,0
695,GLENN MILLER ORCHESTRA,3.5,6,1,0,0
696,HEAVY D & THE BOYZ,3.5,4,3,0,0
697,HINDER,3.5,2,1,1,0
698,HOOBASTANK,3.5,3,2,1,0
699,HOZIER,3.5,2,1,1,0
700,INDIA.ARIE,3.5,3,2,1,0
701,INSANE CLOWN POSSE,3.5,5,2,0,0
702,J. GEILS BAND,3.5,6,1,0,0
703,JAMES BLUNT,3.5,2,1,1,0
704,JILL SCOTT,3.5,4,1,1,0
705,JOHN ANDERSON,3.5,4,1,1,0
706,JOHN LENNON & YOKO ONO,3.5,2,1,1,0
707,K.D. LANG,3.5,4,1,1,0
708,KATHY MATTEA,3.5,6,1,0,0
709,KID CUDI,3.5,3,2,1,0
710,KINGSTON TRIO,3.5,7,0,0,0
711,LEE GREENWOOD,3.5,5,2,0,0
712,LITTLE BIG TOWN,3.5,4,3,0,0
713,LORDE,3.5,2,1,1,0
714,LOS TEMERARIOS,3.5,5,2,0,0
715,LOU RAWLS,3.5,5,2,0,0
716,MAC DAVIS,3.5,5,2,0,0
717,MACY GRAY,3.5,2,1,1,0
718,MANTOVANI,3.5,7,0,0,0
719,MARTY ROBBINS,3.5,6,1,0,0
720,MUSE,3.5,4,3,0,0
721,NEAL MC COY,3.5,4,3,0,0
722,NELLY FURTADO,3.5,3,2,1,0
723,PATTI LABELLE,3.5,6,1,0,0
724,PRESIDENTS OF THE UNITED STATES OF AMERICA,3.5,2,1,1,0
725,PUDDLE OF MUDD,3.5,2,1,1,0
726,RAY STEVENS,3.5,5,2,0,0
727,SAMMY HAGAR,3.5,5,2,0,0
728,SEETHER,3.5,4,3,0,0
729,SILK,3.5,3,2,1,0
730,STEVE MARTIN,3.5,3,2,1,0
731,TERRI CLARK,3.5,4,3,0,0
732,THE ALL-AMERICAN REJECTS,3.5,3,2,1,0
733,THE DEFTONES,3.5,4,3,0,0
734,THE WHISPERS,3.5,5,2,0,0
735,2 LIVE CREW,3.0,5,1,0,0
736,AQUA,3.0,1,1,1,0
737,AVERAGE WHITE BAND,3.0,5,1,0,0
738,BAHA MEN,3.0,1,1,1,0
739,BILLY GILMAN,3.0,3,1,1,0
740,BLUES BROTHERS,3.0,2,2,1,0
741,CALVIN HARRIS,3.0,3,3,0,0
742,CAPTAIN & TENNILLE,3.0,5,1,0,0
743,CARDI B,3.0,1,1,1,0
744,CHEETAH GIRLS,3.0,2,2,1,0
745,CHUMBAWAMBA,3.0,1,1,1,0
746,CONFEDERATE RAILROAD,3.0,2,2,1,0
747,D12,3.0,2,2,1,0
748,DABABY,3.0,3,3,0,0
749,DAVE MATTHEWS & TIM REYNOLDS,3.0,1,1,1,0
750,DIO,3.0,4,2,0,0
751,DONNIE MC CLURKIN,3.0,4,2,0,0
752,EAZY-E,3.0,3,1,1,0
753,EDDY ARNOLD,3.0,3,1,1,0
754,ERNIE FORD,3.0,4,2,0,0
755,EXPOSE,3.0,3,1,1,0
756,FAITH EVANS,3.0,4,2,0,0
757,FREDDIE JACKSON,3.0,4,2,0,0
758,FUEL,3.0,2,2,1,0
759,FUN.,3.0,1,1,1,0
760,G-EAZY,3.0,3,3,0,0
761,GARBAGE,3.0,2,2,1,0
762,GORILLAZ,3.0,2,2,1,0
763,GUY,3.0,2,2,1,0
764,HARRY BELAFONTE,3.0,6,0,0,0
765,HARRY STYLES,3.0,2,2,1,0
766,HENRY MANCINI,3.0,6,0,0,0
767,ICE-T,3.0,5,1,0,0
768,ISAAC HAYES,3.0,6,0,0,0
769,JAHEIM,3.0,4,2,0,0
770,JAMIE FOXX,3.0,2,2,1,0
771,JASON DERULO,3.0,4,2,0,0
772,JOAN BAEZ,3.0,6,0,0,0
773,JOAN OSBORNE,3.0,1,1,1,0
774,JOE DIFFIE,3.0,4,2,0,0
775,JOHN BARRY,3.0,4,2,0,0
776,JOHN CAFFERTY & BEAVER BROWN,3.0,1,1,1,0
777,JOHNNY GILL,3.0,3,1,1,0
778,JONAS BROTHERS,3.0,3,3,0,0
779,KANE BROWN,3.0,2,2,1,0
780,KEYSHIA COLE,3.0,3,3,0,0
781,KODAK BLACK,3.0,3,3,0,0
782,LIFEHOUSE,3.0,3,1,1,0
783,LITTLE FEAT,3.0,5,1,0,0
784,LOREENA MC KENNITT,3.0,3,1,1,0
785,LOU BEGA,3.0,1,1,1,0
786,LYLE LOVETT,3.0,6,0,0,0
787,MAC MILLER,3.0,5,1,0,0
788,MARIO LANZA,3.0,3,1,1,0
789,MEEK MILL,3.0,4,2,0,0
790,MICHAEL MC DONALD,3.0,5,1,0,0
791,MICHELLE BRANCH,3.0,2,2,1,0
792,MIDNIGHT STAR,3.0,3,1,1,0
793,MIGOS,3.0,2,2,1,0
794,MOBB DEEP,3.0,4,2,0,0
795,MUSIQ,3.0,4,2,0,0
796,NAUGHTY BY NATURE,3.0,4,2,0,0
797,NEWSBOYS,3.0,6,0,0,0
798,NIGHT RANGER,3.0,4,2,0,0
799,NITTY GRITTY DIRT BAND,3.0,4,2,0,0
800,PARTRIDGE FAMILY,3.0,6,0,0,0
801,PET SHOP BOYS,3.0,5,1,0,0
802,PRINCE & THE NEW POWER GENERATION,3.0,2,2,1,0
803,REDMAN,3.0,5,1,0,0
804,RICKY SKAGGS,3.0,5,1,0,0
805,ROBERT CRAY,3.0,3,1,1,0
806,ROGER WILLIAMS,3.0,6,0,0,0
807,SARAH BRIGHTMAN,3.0,5,1,0,0
808,SEAN PAUL,3.0,2,2,1,0
809,SHAUN CASSIDY,3.0,3,3,0,0
810,SHEENA EASTON,3.0,5,1,0,0
811,SILVERCHAIR,3.0,3,1,1,0
812,SIMPLE PLAN,3.0,2,2,1,0
813,SOUL ASYLUM,3.0,2,2,1,0
814,STEPHANIE MILLS,3.0,6,0,0,0
815,STEVIE RAY VAUGHAN,3.0,5,1,0,0
816,SWITCHFOOT,3.0,3,1,1,0
817,TEVIN CAMPBELL,3.0,2,2,1,0
818,THE ASSOCIATION,3.0,3,1,1,0
819,THE BAND,3.0,5,1,0,0
820,THREE 6 MAFIA,3.0,4,2,0,0
821,TOBYMAC,3.0,6,0,0,0
822,TRICK DADDY,3.0,5,1,0,0
823,TRIUMPH,3.0,5,1,0,0
824,UB-40,3.0,3,3,0,0
825,USA FOR AFRICA,3.0,1,1,1,0
826,WYCLEF JEAN,3.0,2,2,1,0
827,XSCAPE,3.0,3,3,0,0
828,A PERFECT CIRCLE,2.5,3,2,0,0
829,AL B. SURE!,2.5,2,1,1,0
830,ALDO NOVA,2.5,2,1,1,0
831,ANDREAS VOLLENWEIDER,2.5,4,1,0,0
832,ANDY GIBB,2.5,3,2,0,0
833,ANTHRAX,2.5,5,0,0,0
834,BASIA,2.5,3,2,0,0
835,BAY CITY ROLLERS,2.5,5,0,0,0
836,BEN HARPER,2.5,5,0,0,0
837,BIG TYMERS,2.5,3,2,0,0
838,BILLY CURRINGTON,2.5,4,1,0,0
839,BJORK,2.5,3,2,0,0
840,BLACKHAWK,2.5,2,1,1,0
841,BON IVER,2.5,3,2,0,0
842,BRANTLEY GILBERT,2.5,3,2,0,0
843,BRYAN WHITE,2.5,3,2,0,0
844,BTS,2.5,3,2,0,0
845,BUCKCHERRY,2.5,2,1,1,0
846,CAKE,2.5,3,2,0,0
847,CECE WINANS,2.5,4,1,0,0
848,CELTIC WOMAN,2.5,3,2,0,0
849,CHAKA KHAN,2.5,4,1,0,0
850,CHARLIE PUTH,2.5,2,1,1,0
851,CHIC,2.5,3,2,0,0
852,COLBIE CAILLAT,2.5,2,1,1,0
853,CONJUNTO PRIMAVERA,2.5,4,1,0,0
854,DA BRAT,2.5,3,2,0,0
855,DAMN YANKEES,2.5,2,1,1,0
856,DARIUS RUCKER,2.5,3,2,0,0
857,DAVE BRUBECK,2.5,2,1,1,0
858,DAVE MASON,2.5,4,1,0,0
859,DAVID ALLAN COE,2.5,4,1,0,0
860,DJ QUIK,2.5,4,1,0,0
861,DONNY OSMOND,2.5,5,0,0,0
862,E-40,2.5,4,1,0,0
863,EPMD,2.5,5,0,0,0
864,EVERLAST,2.5,2,1,1,0
865,EXTREME II,2.5,2,1,1,0
866,FAT BOYS,2.5,4,1,0,0
867,FIREFALL,2.5,3,2,0,0
868,FIREHOUSE,2.5,2,1,1,0
869,FOXY BROWN,2.5,3,2,0,0
870,GIPSY KINGS,2.5,3,2,0,0
871,GO GO'S,2.5,2,1,1,0
872,HAROLD MELVIN & THE BLUE NOTES,2.5,3,2,0,0
873,HEATWAVE,2.5,3,2,0,0
874,HERBIE HANCOCK,2.5,3,2,0,0
875,HERMAN'S HERMITS,2.5,5,0,0,0
876,JANE FONDA,2.5,2,1,1,0
877,JHENE AIKO,2.5,4,1,0,0
878,JIM CROCE,2.5,4,1,0,0
879,JIM REEVES,2.5,4,1,0,0
880,JOAN JETT & THE BLACKHEARTS,2.5,3,2,0,0
881,JOE SATRIANI,2.5,4,1,0,0
882,JUSTIN MOORE,2.5,3,2,0,0
883,K.T. OSLIN,2.5,3,2,0,0
884,KEITH WHITLEY,2.5,4,1,0,0
885,KENNY WAYNE SHEPHERD,2.5,3,2,0,0
886,KENTUCKY HEADHUNTERS,2.5,2,1,1,0
887,KINGS OF LEON,2.5,2,1,1,0
888,LARRY THE CABLE GUY,2.5,3,2,0,0
889,LEE BRICE,2.5,4,1,0,0
890,LEON RUSSELL,2.5,5,0,0,0
891,LIVING COLOUR,2.5,2,1,1,0
892,LOUIS ARMSTRONG,2.5,4,1,0,0
893,MARCO ANTONIO SOLIS,2.5,4,1,0,0
894,METHOD MAN,2.5,3,2,0,0
895,MIGUEL,2.5,3,2,0,0
896,MINDY MC CREADY,2.5,2,1,1,0
897,MOBY,2.5,2,1,1,0
898,MONTELL JORDAN,2.5,4,1,0,0
899,MYA,2.5,3,2,0,0
900,NEXT,2.5,2,1,1,0
901,NF,2.5,3,2,0,0
902,OTIS REDDING,2.5,2,1,1,0
903,OTTMAR LIEBERT,2.5,4,1,0,0
904,POLO G,2.5,3,2,0,0
905,POP SMOKE,2.5,2,1,1,0
906,PRIMUS,2.5,3,2,0,0
907,RAE SREMMURD,2.5,3,2,0,0
908,RASCALS,2.5,5,0,0,0
909,RICK ASTLEY,2.5,2,1,1,0
910,RICK JAMES,2.5,4,1,0,0
911,RICK ROSS,2.5,4,1,0,0
912,ROB THOMAS,2.5,2,1,1,0
913,RODDY RICCH,2.5,2,1,1,0
914,SINEAD O'CONNOR,2.5,2,1,1,0
915,SIR MIX-A-LOT,2.5,3,2,0,0
916,SLAUGHTER,2.5,2,1,1,0
917,SOUL II SOUL,2.5,2,1,1,0
918,SPINNERS,2.5,5,0,0,0
919,STEVE PERRY,2.5,2,1,1,0
920,SUZY BOGGUSS,2.5,4,1,0,0
921,THE CULT,2.5,3,2,0,0
922,THE HOOTERS,2.5,2,1,1,0
923,THE JERKY BOYS,2.5,3,2,0,0
924,THE KNACK,2.5,2,1,1,0
925,THE OUTFIELD,2.5,2,1,1,0
926,THE STROKES,2.5,3,2,0,0
927,THE TIME,2.5,4,1,0,0
928,THE USED,2.5,3,2,0,0
929,THE WHITE STRIPES,2.5,3,2,0,0
930,THEORY OF A DEADMAN,2.5,2,1,1,0
931,TOAD THE WET SPROCKET,2.5,3,2,0,0
932,TRAFFIC,2.5,4,1,0,0
933,TRU,2.5,2,1,1,0
934,TWISTA,2.5,3,2,0,0
935,TYGA,2.5,3,2,0,0
936,UNCLE KRACKER,2.5,2,1,1,0
937,WAYLON JENNINGS & WILLIE NELSON,2.5,2,1,1,0
938,WHITE LION,2.5,2,1,1,0
939,YOUNG THUG,2.5,4,1,0,0
940,2 CHAINZ,2.0,2,2,0,0
941,21 SAVAGE,2.0,2,2,0,0
942,AFI,2.0,2,2,0,0
943,AFTER 7,2.0,3,1,0,0
944,AL HIRT,2.0,4,0,0,0
945,AL STEWART,2.0,2,2,0,0
946,AMY WINEHOUSE,2.0,1,1,1,0
947,ANTHONY HAMILTON,2.0,3,1,0,0
948,ART GARFUNKEL,2.0,3,1,0,0
949,ASHFORD & SIMPSON,2.0,4,0,0,0
950,ATLANTA RHYTHM SECTION,2.0,3,1,0,0
951,AVANT,2.0,3,1,0,0
952,B2K,2.0,3,1,0,0
953,BABY EINSTEIN MUSIC BOX ORCHESTRA,2.0,4,0,0,0
954,BEAVIS & BUTT-HEAD,2.0,1,1,1,0
955,BELINDA CARLISLE,2.0,3,1,0,0
956,BENEDICTINE MONKS-SANTO DE SIL,2.0,1,1,1,0
957,BERLIN,2.0,3,1,0,0
958,BIG PUNISHER,2.0,2,2,0,0
959,BILLY DEAN,2.0,4,0,0,0
960,BOB CARLISLE,2.0,1,1,1,0
961,BRASS CONSTRUCTION,2.0,3,1,0,0
962,BRIAN SETZER ORCHESTRA,2.0,1,1,1,0
963,BURT BACHARACH,2.0,4,0,0,0
964,CAGE THE ELEPHANT,2.0,3,1,0,0
965,CAM'RON,2.0,3,1,0,0
966,CAMILA CABELLO,2.0,2,2,0,0
967,CHEECH & CHONG,2.0,4,0,0,0
968,CHERRY POPPIN' DADDIES,2.0,1,1,1,0
969,CHRIS LEDOUX,2.0,3,1,0,0
970,CON FUNK SHUN,2.0,4,0,0,0
971,CRASH TEST DUMMIES,2.0,1,1,1,0
972,D'ANGELO,2.0,2,2,0,0
973,DAFT PUNK,2.0,3,1,0,0
974,DAN + SHAY,2.0,3,1,0,0
975,DEATH CAB FOR CUTIE,2.0,3,1,0,0
976,DIGITAL UNDERGROUND,2.0,3,1,0,0
977,DJ CLUE,2.0,3,1,0,0
978,DON MC LEAN,2.0,1,1,1,0
979,DON WILLIAMS,2.0,3,1,0,0
980,DONNY & MARIE OSMOND,2.0,4,0,0,0
981,DUA LIPA,2.0,2,2,0,0
982,EDDIE RABBITT,2.0,3,1,0,0
983,EDGAR WINTER GROUP,2.0,1,1,1,0
984,EDIE BRICKELL & NEW BOHEMIANS,2.0,1,1,1,0
985,EIFFEL 65,2.0,1,1,1,0
986,EMOTIONS,2.0,3,1,0,0
987,ERIC B. & RAKIM,2.0,3,1,0,0
988,ERIC CLAPTON & B.B. KING,2.0,1,1,1,0
989,FETTY WAP,2.0,1,1,1,0
990,FIFTH HARMONY,2.0,2,2,0,0
991,FILTER,2.0,2,2,0,0
992,FINE YOUNG CANNIBALS,2.0,1,1,1,0
993,FIVE FOR FIGHTING,2.0,2,2,0,0
994,FOSTER THE PEOPLE,2.0,1,1,1,0
995,FRENCH MONTANA,2.0,3,1,0,0
996,G-UNIT,2.0,1,1,1,0
997,GARY WRIGHT,2.0,1,1,1,0
998,GEORGE CARLIN,2.0,4,0,0,0
999,GETO BOYS,2.0,3,1,0,0
1000,GORDON MACRAE,2.0,1,1,1,0
1001,GOTYE,2.0,1,1,1,0
1002,"GROVER WASHINGTON, JR.",2.0,1,1,1,0
1003,HOLE,2.0,2,2,0,0
1004,HUNTER HAYES,2.0,1,1,1,0
1005,JACI VELASQUEZ,2.0,3,1,0,0
1006,JAMES BROWN,2.0,3,1,0,0
1007,JAY-Z & LINKIN PARK,2.0,1,1,1,0
1008,JAY-Z & R. KELLY,2.0,2,2,0,0
1009,JENNINGS / NELSON / COLTER / GLASER,2.0,1,1,1,0
1010,JEREMIH,2.0,3,1,0,0
1011,JEREMY CAMP,2.0,4,0,0,0
1012,JIM BRICKMAN,2.0,4,0,0,0
1013,JOE WALSH,2.0,3,1,0,0
1014,JOHN BERRY,2.0,3,1,0,0
1015,JOHN COLTRANE,2.0,4,0,0,0
1016,JON BON JOVI,2.0,1,1,1,0
1017,JONNY LANG,2.0,2,2,0,0
1018,JOSS STONE,2.0,3,1,0,0
1019,JUICE NEWTON,2.0,3,1,0,0
1020,KACEY MUSGRAVES,2.0,2,2,0,0
1021,KELLY PRICE,2.0,2,2,0,0
1022,KEM,2.0,3,1,0,0
1023,KENNY ROGERS & DOLLY PARTON,2.0,1,1,1,0
1024,KRIS KRISTOFFERSON,2.0,4,0,0,0
1025,L.T.D.,2.0,3,1,0,0
1026,LADY GAGA & BRADLEY COOPER,2.0,1,1,1,0
1027,LANA DEL REY,2.0,3,1,0,0
1028,LAURA BRANIGAN,2.0,3,1,0,0
1029,LAUREN DAIGLE,2.0,2,2,0,0
1030,LEVERT,2.0,4,0,0,0
1031,LIL' FLIP,2.0,2,2,0,0
1032,LORETTA LYNN,2.0,4,0,0,0
1033,LOS LOBOS,2.0,1,1,1,0
1034,LOS LONELY BOYS,2.0,1,1,1,0
1035,LSG,2.0,1,1,1,0
1036,MANDY MOORE,2.0,3,1,0,0
1037,MARTY STUART,2.0,4,0,0,0
1038,MARY MARY,2.0,3,1,0,0
1039,MEGAN THEE STALLION,2.0,3,1,0,0
1040,MELANIE MARTINEZ,2.0,1,1,1,0
1041,MICHAEL CRAWFORD,2.0,3,1,0,0
1042,MICKEY MOUSE,2.0,1,1,1,0
1043,MINISTRY,2.0,3,1,0,0
1044,MODEST MOUSE,2.0,3,1,0,0
1045,MORGAN WALLEN,2.0,2,2,0,0
1046,MORMON TABERNACLE CHOIR,2.0,4,0,0,0
1047,NATALIE IMBRUGLIA,2.0,1,1,1,0
1048,NAV,2.0,4,0,0,0
1049,NELSON,2.0,1,1,1,0
1050,NEW FOUND GLORY,2.0,3,1,0,0
1051,NEW ORDER,2.0,3,1,0,0
1052,OLIVIA NEWTON-JOHN & ELECTRIC LIGHT ORCHESTRA,2.0,1,1,1,0
1053,ONEREPUBLIC,2.0,3,1,0,0
1054,OZZY OSBOURNE & RANDY RHOADS,2.0,1,1,1,0
1055,PABLO CRUISE,2.0,2,2,0,0
1056,PAUL REVERE & THE RAIDERS,2.0,4,0,0,0
1057,PAULA COLE,2.0,1,1,1,0
1058,PERRY COMO,2.0,4,0,0,0
1059,PLIES,2.0,3,1,0,0
1060,PRODIGY,2.0,1,1,1,0
1061,PUSSYCAT DOLLS,2.0,1,1,1,0
1062,RARE EARTH,2.0,3,1,0,0
1063,RAY PRICE,2.0,3,1,0,0
1064,REAL MC COY,2.0,1,1,1,0
1065,RESTLESS HEART,2.0,4,0,0,0
1066,RICKIE LEE JONES,2.0,3,1,0,0
1067,ROBIN TROWER,2.0,4,0,0,0
1068,ROD WAVE,2.0,2,2,0,0
1069,RODNEY ATKINS,2.0,3,1,0,0
1070,RODNEY CARRINGTON,2.0,3,1,0,0
1071,ROSE ROYCE,2.0,3,1,0,0
1072,ROXETTE,2.0,2,2,0,0
1073,RUFUS & CHAKA KHAN,2.0,3,1,0,0
1074,SANDRA BOYNTON & MICHAEL FORD,2.0,3,1,0,0
1075,SARA BAREILLES,2.0,3,1,0,0
1076,SCOTTY MCCREERY,2.0,3,1,0,0
1077,SERGIO MENDES & BRASIL '66,2.0,4,0,0,0
1078,SHAI,2.0,1,1,1,0
1079,SILKK THE SHOCKER,2.0,2,2,0,0
1080,SIMPLY RED,2.0,3,1,0,0
1081,SKRILLEX,2.0,2,2,0,0
1082,SLAYER,2.0,4,0,0,0
1083,SPYRO GYRA,2.0,3,1,0,0
1084,STRYPER,2.0,3,1,0,0
1085,SUM 41,2.0,3,1,0,0
1086,SURVIVOR,2.0,2,2,0,0
1087,SZA,2.0,1,1,1,0
1088,TERENCE TRENT D'ARBY,2.0,1,1,1,0
1089,THA DOGG POUND,2.0,1,1,1,0
1090,THE COMMITMENTS,2.0,1,1,1,0
1091,THE CORRS,2.0,3,1,0,0
1092,THE FOUR SEASONS,2.0,4,0,0,0
1093,THE GAME,2.0,1,1,1,0
1094,THE KINKS,2.0,4,0,0,0
1095,THE LETTERMEN,2.0,4,0,0,0
1096,THE MAMAS & THE PAPAS,2.0,4,0,0,0
1097,THE OSMONDS,2.0,4,0,0,0
1098,THE ROOTS,2.0,3,1,0,0
1099,THE SIMPSONS,2.0,1,1,1,0
1100,THE TRACTORS,2.0,1,1,1,0
1101,TONE LOC,2.0,1,1,1,0
1102,TRIPPIE REDD,2.0,4,0,0,0
1103,"TYLER, THE CREATOR",2.0,3,1,0,0
1104,TYRESE,2.0,3,1,0,0
1105,UGLY KID JOE,2.0,1,1,1,0
1106,URIAH HEEP,2.0,4,0,0,0
1107,VAMPIRE WEEKEND,2.0,3,1,0,0
1108,VELVET REVOLVER,2.0,1,1,1,0
1109,VERTICAL HORIZON,2.0,1,1,1,0
1110,VICENTE FERNANDEZ,2.0,4,0,0,0
1111,WHODINI,2.0,3,1,0,0
1112,WILLIE NELSON & FAMILY,2.0,1,1,1,0
1113,"WINANS, BEBE & CECE",2.0,3,1,0,0
1114,WINGER,2.0,2,2,0,0
1115,XZIBIT,2.0,3,1,0,0
1116,YG,2.0,3,1,0,0
1117,YING YANG TWINS,2.0,2,2,0,0
1118,YOLANDA ADAMS,2.0,3,1,0,0
1119,30 SECONDS TO MARS,1.5,2,1,0,0
1120,6IX9INE,1.5,2,1,0,0
1121,6LACK,1.5,2,1,0,0
1122,702,1.5,2,1,0,0
1123,ALABAMA SHAKES,1.5,2,1,0,0
1124,ALEJANDRO FERNANDEZ,1.5,2,1,0,0
1125,ANDY GRIFFITH,1.5,2,1,0,0
1126,APRIL WINE,1.5,2,1,0,0
1127,ARCTIC MONKEYS,1.5,2,1,0,0
1128,ARLO GUTHRIE,1.5,2,1,0,0
1129,ATLANTIC STARR,1.5,2,1,0,0
1130,B.B. KING,1.5,2,1,0,0
1131,B.G.,1.5,2,1,0,0
1132,B*WITCHED,1.5,2,1,0,0
1133,BAR-KAYS,1.5,3,0,0,0
1134,BERT KAEMPFERT,1.5,3,0,0,0
1135,BILL ENGVALL,1.5,2,1,0,0
1136,BILL WITHERS,1.5,3,0,0,0
1137,BILLY VAUGHN,1.5,3,0,0,0
1138,BLACK OAK ARKANSAS,1.5,3,0,0,0
1139,BLACKBYRDS,1.5,3,0,0,0
1140,BLOODHOUND GANG,1.5,2,1,0,0
1141,BOB DYLAN & THE BAND,1.5,2,1,0,0
