,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
133,STEVIE WONDER,19.5,12,7,2,1
134,TONI BRAXTON,19.5,6,3,3,0
135,MATCHBOX TWENTY,19.0,5,3,3,1
136,JACKSON BROWNE,18.5,11,8,3,0
137,JANIS JOPLIN,18.5,8,5,3,0
138,JEWEL,18.5,5,4,2,1
139,RASCAL FLATTS,18.5,8,7,5,0
140,SARAH MC LACHLAN,18.5,8,5,4,0
141,"CROSBY, STILLS, NASH & YOUNG",18.0,4,4,3,0
142,DESTINY'S CHILD,18.0,6,6,3,0
143,P!NK,18.0,8,8,5,0
144,RANDY TRAVIS,18.0,12,8,4,0
145,STING,18.0,11,9,5,0
146,THE MONKEES,18.0,9,7,4,0
147,CAROLE KING,17.5,8,3,1,1
148,JOHN MAYER,17.5,9,6,4,0
149,NEIL YOUNG,17.5,18,7,3,0
150,STONE TEMPLE PILOTS,17.5,5,4,3,0
151,STYX,17.5,13,6,5,0
152,AMY GRANT,17.0,13,7,3,0
153,BONNIE RAITT,17.0,9,3,3,0
154,BRYAN ADAMS,17.0,6,6,3,0
155,LADY GAGA,17.0,5,5,3,0
156,NORAH JONES,17.0,4,4,3,1
157,JOHNNY MATHIS,16.5,15,6,2,0
158,KORN,16.5,9,8,4,0
159,LEANN RIMES,16.5,9,6,3,0
160,LIMP BIZKIT,16.5,5,4,3,0
161,NEW KIDS ON THE BLOCK,16.5,5,4,4,0
162,ANDREA BOCELLI,16.0,14,10,3,0
163,BRUNO MARS,16.0,3,3,3,0
164,HAMMER,16.0,4,4,3,1
165,"HARRY CONNICK, JR.",16.0,13,9,4,0
166,MARTINA MCBRIDE,16.0,10,8,4,0
167,PRINCE & THE REVOLUTION,16.0,3,3,2,1
168,SHERYL CROW,16.0,6,6,3,0
169,50 CENT,15.5,3,2,2,0
170,BAD COMPANY,15.5,9,6,4,0
171,CAT STEVENS,15.5,12,5,3,0
172,CHRISTINA AGUILERA,15.5,7,4,2,0
173,DIRE STRAITS,15.5,8,5,2,0
174,GLORIA ESTEFAN,15.5,10,7,4,0
175,ISLEY BROTHERS,15.5,15,10,3,0
176,KANSAS,15.5,9,4,3,0
177,PAUL MC CARTNEY,15.5,16,7,4,0
178,BEYONCE,15.0,6,6,5,0
179,BLACK SABBATH,15.0,12,8,3,0
180,GEORGE MICHAEL,15.0,4,4,3,1
181,INXS,15.0,9,7,3,0
182,NO DOUBT,15.0,4,4,3,1
183,ANNE MURRAY,14.5,15,6,2,0
184,CHRIS BROWN,14.5,9,8,4,0
185,COLDPLAY,14.5,8,7,4,0
186,KEITH URBAN,14.5,10,9,2,0
187,OFFSPRING,14.5,7,4,2,0
188,PATSY CLINE,14.5,6,5,1,1
189,POISON,14.5,7,4,4,0
190,THE CRANBERRIES,14.5,4,3,3,0
191,DAN FOGELBERG,14.0,9,7,5,0
192,DMX,14.0,5,5,3,0
193,JOHN MICHAEL MONTGOMERY,14.0,7,5,3,0
194,TED NUGENT,14.0,8,6,5,0
195,CHARLIE DANIELS BAND,13.5,9,6,3,0
196,NATALIE COLE,13.5,11,4,1,0
197,PAUL SIMON,13.5,11,6,2,0
198,YES,13.5,13,8,2,0
199,3 DOORS DOWN,13.0,5,3,2,0
200,AVRIL LAVIGNE,13.0,5,3,3,0
201,HALL & OATES,13.0,13,7,3,0
202,HUEY LEWIS & THE NEWS,13.0,6,4,2,0
203,KEITH SWEAT,13.0,8,6,3,0
204,LUKE BRYAN,13.0,8,4,3,0
205,MAROON 5,13.0,8,6,3,0
206,MELISSA ETHERIDGE,13.0,7,5,3,0
207,POST MALONE,13.0,3,3,3,0
208,TRACY CHAPMAN,13.0,5,3,2,0
209,ANITA BAKER,12.5,6,5,3,0
210,CHER,12.5,9,4,3,0
211,CLINT BLACK,12.5,8,7,3,0
212,JASON ALDEAN,12.5,8,7,3,0
213,L.L. COOL J,12.5,12,7,3,0
214,NAS,12.5,10,7,3,0
215,PAT BENATAR,12.5,10,7,2,0
216,SNOOP DOGG,12.5,8,7,3,0
217,THE TEMPTATIONS,12.5,17,6,1,0
218,THE WEEKND,12.5,5,4,4,0
219,TOOL,12.5,6,5,4,0
220,TRISHA YEARWOOD,12.5,11,6,2,0
221,WHITESNAKE,12.5,5,4,2,0
222,ANDREW LLOYD WEBBER,12.0,6,6,2,0
223,BETTE MIDLER,12.0,10,6,3,0
224,COUNTING CROWS,12.0,6,4,2,0
225,DURAN DURAN,12.0,10,8,3,0
226,KELLY CLARKSON,12.0,7,5,2,0
227,LIVE,12.0,4,4,2,0
228,LUDACRIS,12.0,7,5,4,0
229,NAT KING COLE,12.0,8,6,1,0
230,ONE DIRECTION,12.0,5,5,4,0
231,TRAVIS TRITT,12.0,7,7,4,0
232,WILL SMITH,12.0,4,2,2,0
233,BONE THUGS 'N HARMONY,11.5,6,5,2,0
234,DISTURBED,11.5,6,5,3,0
235,DON HENLEY,11.5,5,4,2,0
236,DWIGHT YOAKAM,11.5,10,7,2,0
237,ELECTRIC LIGHT ORCHESTRA,11.5,11,4,2,0
238,PAULA ABDUL,11.5,4,3,2,0
239,S.R. VAUGHAN & DOUBLE TROUBLE,11.5,7,6,5,0
240,ALICE IN CHAINS,11.0,7,5,3,0
241,BARRY WHITE,11.0,12,6,2,0
242,BLAKE SHELTON,11.0,12,6,2,0
243,ED SHEERAN,11.0,4,4,3,0
244,GRAND FUNK RAILROAD,11.0,12,6,2,0
245,JENNIFER LOPEZ,11.0,5,5,3,0
246,JETHRO TULL,11.0,15,3,1,0
247,KATY PERRY,11.0,3,3,2,0
248,LAURYN HILL,11.0,2,2,1,1
249,LOVERBOY,11.0,6,4,4,0
250,OLIVIA NEWTON-JOHN,11.0,12,4,3,0
